,Sales_ID,name,year,selling_price,km_driven,Region,State_Province,City,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,sold,Brand
99,104,Maruti Eeco,2016,270000,100000,East,Pennsylvania,Philadelphia,Petrol,Individual,Manual,Third Owner,15.3,1196,73.0,101Nm@ 3000rpm,7,Y,Maruti
100,105,Maruti Baleno,2018,610000,35000,East,Pennsylvania,Philadelphia,Petrol,Individual,Manual,First Owner,21.0,1197,83.1,115Nm@ 4000rpm,5,Y,Maruti
101,106,Mahindra Scorpio,2014,625000,70000,East,Pennsylvania,Philadelphia,Diesel,Individual,Automatic,Second Owner,11.7,2179,120.0,290Nm@ 1800-2800rpm,8,Y,Mahindra
102,107,Ford Freestyle,2020,400000,5000,Central,Texas,Houston,Petrol,Individual,Manual,Second Owner,19.0,1194,94.68,120Nm@ 4250rpm,5,Y,Ford
103,108,Hyundai Verna,2017,866000,37800,East,New York,New York City,Petrol,Individual,Manual,First Owner,17.0,1591,121.3,151Nm@ 4850rpm,5,Y,Hyundai
104,109,Volkswagen Passat,2010,700000,114000,West,California,Los Angeles,Petrol,Individual,Manual,First Owner,14.0,1798,160.0,250Nm@ 1500~4500rpm,5,Y,Volkswagen
105,110,Tata Indica,2010,300000,48000,Central,Illinois,Chicago,Petrol,Individual,Manual,First Owner,15.0,1172,65.0,96 Nm at 3000 rpm,5,Y,Tata
106,111,Mahindra XUV500,2019,1700000,32000,East,New York,New York City,Diesel,Individual,Manual,First Owner,15.0,2179,155.0,360Nm@ 1750-2800rpm,7,Y,Mahindra
107,112,Tata Indigo,2016,375000,100000,East,New York,New York City,Diesel,Individual,Manual,First Owner,19.0,1405,69.01,135Nm@ 2500rpm,5,Y,Tata
108,113,Hyundai Verna,2013,522000,150000,East,New York,New York City,Diesel,Individual,Manual,Second Owner,22.3,1582,126.32,259.8Nm@ 1900-2750rpm,5,Y,Hyundai
109,114,Hyundai i20,2013,451999,69000,East,New York,New York City,Diesel,Individual,Manual,First Owner,21.0,1396,88.76,219.6Nm@ 1500-2750rpm,5,Y,Hyundai
110,115,Toyota Corolla,2009,300000,100000,East,New York,New York City,Petrol,Individual,Manual,Second Owner,14.5,1798,138.1,173Nm@ 4000rpm,5,Y,Toyota
111,116,Maruti Celerio,2020,475000,13000,East,New York,New York City,Petrol,Individual,Manual,First Owner,21.6,998,67.04,90Nm@ 3500rpm,5,Y,Maruti
112,117,Maruti Vitara,2016,780000,60000,West,California,Los Angeles,Diesel,Individual,Manual,First Owner,24.0,1248,88.5,200Nm@ 1750rpm,5,Y,Maruti
113,118,Maruti Swift,2017,595000,40000,West,California,Los Angeles,Petrol,Individual,Manual,First Owner,20.8,1197,83.14,115Nm@ 4000rpm,5,Y,Maruti
114,119,Maruti Wagon,2017,440000,35000,West,California,Los Angeles,Petrol,Individual,Manual,First Owner,20.5,998,67.04,90Nm@ 3500rpm,5,Y,Maruti
115,121,Nissan Terrano,2014,400000,70000,East,District of Columbia,Washington,Diesel,Individual,Manual,Third Owner,20.4,1461,83.8,200Nm@ 1900rpm,5,Y,Nissan
116,122,Hyundai Creta,2016,1140000,50000,East,Pennsylvania,Philadelphia,Diesel,Individual,Manual,First Owner,19.6,1582,126.2,259.9Nm@ 1900-2750rpm,5,Y,Hyundai
117,123,Ford EcoSport,2017,850000,76139,East,New York,New York City,Diesel,Individual,Manual,First Owner,23.0,1498,98.96,205Nm@ 1750-3250rpm,5,Y,Ford
118,124,Maruti Swift,2012,370000,175000,South,North Carolina,Charlotte,Diesel,Individual,Manual,Fourth & Above Owner,19.0,1248,73.9,190Nm@ 2000rpm,5,Y,Maruti
119,125,Renault KWID,2018,350000,25000,East,Massachusetts,Boston,Petrol,Individual,Manual,First Owner,23.0,999,67.0,91Nm@ 4250rpm,5,Y,Renault
120,126,Maruti Celerio,2015,360000,40000,East,Massachusetts,Boston,Petrol,Individual,Manual,Second Owner,23.0,998,67.04,90Nm@ 3500rpm,5,Y,Maruti
121,127,Maruti Alto,2008,105000,65000,East,Massachusetts,Boston,Petrol,Individual,Manual,Fourth & Above Owner,19.0,796,46.3,62Nm@ 3000rpm,5,Y,Maruti
122,128,Maruti Ertiga,2013,625000,90000,West,California,San Francisco,Diesel,Individual,Manual,Second Owner,20.7,1248,88.76,200Nm@ 1750rpm,7,Y,Maruti
123,129,Hyundai Santro,2009,135000,80000,West,Washington,Seattle,Petrol,Individual,Manual,Second Owner,17.9,1086,62.1,96.1Nm@ 3000rpm,5,Y,Hyundai
124,130,Maruti Ertiga,2015,700000,110000,East,District of Columbia,Washington,Diesel,Individual,Manual,Second Owner,20.7,1248,88.76,200Nm@ 1750rpm,7,Y,Maruti
125,131,Honda Amaze,2019,690000,1303,East,District of Columbia,Washington,Petrol,Dealer,Manual,First Owner,17.0,1198,86.7,109Nm@ 4500rpm,5,Y,Honda
126,132,Audi Q5,2018,3975000,31800,West,Washington,Seattle,Diesel,Dealer,Automatic,First Owner,17.0,1968,188.0,400nm@ 1750-3000rpm,5,Y,Audi
127,133,Lexus ES,2019,5150000,20000,West,Washington,Seattle,Petrol,Dealer,Automatic,First Owner,22.3,2487,214.56,202Nm@ 3600-5200rpm,5,Y,Lexus
128,134,Jaguar XF,2017,3200000,45000,East,New York,New York City,Diesel,Dealer,Automatic,First Owner,19.3,1999,177.0,430Nm@ 1750-2500rpm,5,Y,Jaguar
129,135,Jeep Wrangler,2017,4100000,17000,West,California,Los Angeles,Petrol,Individual,Automatic,First Owner,9.0,3604,280.0,347Nm@ 4300rpm,5,Y,Jeep
130,136,Land Rover,2019,4500000,21000,West,California,Los Angeles,Diesel,Dealer,Automatic,First Owner,12.8,1999,148.31,382nm@ 1750-2250rpm,7,Y,Land
131,137,Mercedes-Benz S-Class,2017,6000000,37000,West,California,Los Angeles,Diesel,Dealer,Automatic,First Owner,13.0,2987,254.79,620Nm@ 1600-2400rpm,5,Y,Mercedes-Benz
132,138,BMW 5,2018,3790000,29500,West,California,Los Angeles,Diesel,Dealer,Automatic,First Owner,22.4,1995,187.74,400Nm@ 1750-2500rpm,5,Y,BMW
133,140,BMW X4,2019,5800000,7500,East,New York,New York City,Diesel,Dealer,Automatic,First Owner,16.7,1995,190.0,400Nm@ 1750-2500rpm,5,Y,BMW
134,141,Skoda Superb,2018,1864999,50000,West,California,San Diego,Petrol,Dealer,Automatic,First Owner,14.6,1798,177.46,250@ 1250-5000rpm,5,Y,Skoda
135,142,Mercedes-Benz E-Class,2016,2700000,35000,West,California,San Diego,Diesel,Dealer,Automatic,First Owner,15.0,2143,204.0,500Nm@ 1600-1800rpm,5,Y,Mercedes-Benz
136,143,MG Hector,2019,1750000,19000,West,California,San Diego,Petrol,Dealer,Automatic,First Owner,13.9,1451,141.0,250Nm@ 1600-3600rpm,5,Y,MG
137,144,Honda City,2017,795000,41000,West,Washington,Seattle,Petrol,Dealer,Automatic,First Owner,18.0,1497,117.6,145Nm@ 4600rpm,5,Y,Honda
138,145,Toyota Corolla,2013,625000,39000,East,District of Columbia,Washington,Petrol,Dealer,Automatic,First Owner,14.2,1798,138.03,173Nm@ 4000rpm,5,Y,Toyota
139,146,Volvo XC40,2018,3400000,22000,East,District of Columbia,Washington,Diesel,Dealer,Automatic,First Owner,18.0,1969,190.0,400Nm,5,Y,Volvo
140,147,Audi Q7,2015,2650000,53000,West,California,Los Angeles,Diesel,Dealer,Automatic,First Owner,12.0,2967,241.4,550Nm@ 1750-2750rpm,7,Y,Audi
141,148,Maruti Ciaz,2015,535000,40000,West,California,Los Angeles,Diesel,Dealer,Manual,First Owner,26.2,1248,88.5,200Nm@ 1750rpm,5,Y,Maruti
142,149,Mercedes-Benz S-Class,2017,5850000,47000,West,California,Los Angeles,Diesel,Dealer,Automatic,First Owner,13.0,2987,282.0,490Nm@ 1600rpm,5,Y,Mercedes-Benz
143,150,BMW 5,2010,975000,72200,East,District of Columbia,Washington,Petrol,Dealer,Automatic,Second Owner,10.0,2497,150.0,250 Nm at 2750 rpm,5,Y,BMW
144,151,Hyundai Elantra,2016,805000,49900,East,District of Columbia,Washington,Petrol,Dealer,Manual,First Owner,16.0,1797,147.5,177.5Nm@ 4700rpm,5,Y,Hyundai
145,152,Jaguar XE,2017,2625000,9000,East,New York,New York City,Diesel,Dealer,Automatic,First Owner,13.0,1999,177.0,430Nm@ 1750-2500rpm,5,Y,Jaguar
146,153,Tata Nexon,2018,811000,11000,East,New York,New York City,Petrol,Dealer,Manual,First Owner,17.0,1198,108.5,170Nm@ 1750-4000rpm,5,Y,Tata
147,154,Volkswagen Vento,2011,375000,49000,East,District of Columbia,Washington,Petrol,Individual,Manual,First Owner,15.0,1598,103.6,153Nm@ 3800rpm,5,Y,Volkswagen
148,155,Hyundai Elantra,2012,550000,95000,East,New York,New York City,Petrol,Individual,Manual,First Owner,16.0,1797,147.5,177.5Nm@ 4700rpm,5,Y,Hyundai
149,156,Skoda Rapid,2016,645000,11000,East,Massachusetts,Boston,Petrol,Dealer,Automatic,First Owner,14.0,1598,103.5,153Nm@ 3800rpm,5,Y,Skoda
150,157,Mercedes-Benz CLA,2018,2550000,18000,Central,Illinois,Chicago,Petrol,Dealer,Automatic,First Owner,15.0,1991,183.0,300Nm@ 1200-4000rpm,5,Y,Mercedes-Benz
151,158,Maruti Ertiga,2014,599000,46100,Central,Texas,Houston,Petrol,Dealer,Manual,First Owner,16.0,1373,93.7,130Nm@ 4000rpm,7,Y,Maruti
152,159,Mercedes-Benz New,2017,2700000,16000,East,Massachusetts,Boston,Petrol,Dealer,Automatic,First Owner,14.7,1991,181.04,300Nm@ 1200-1400rpm,5,Y,Mercedes-Benz
153,160,Honda City,2017,875000,18000,East,Massachusetts,Boston,Petrol,Dealer,Automatic,First Owner,15.0,1497,116.3,146Nm@ 4800rpm,5,Y,Honda
154,161,Toyota Glanza,2019,894999,9654,East,Massachusetts,Boston,Petrol,Dealer,Automatic,First Owner,19.5,1197,81.8,113Nm@ 4200rpm,5,Y,Toyota
155,162,Maruti Alto,2011,175000,11000,South,North Carolina,Charlotte,Petrol,Dealer,Manual,First Owner,23.9,998,67.05,90Nm@ 3500rpm,5,Y,Maruti
156,163,Maruti Swift,2012,340000,24300,West,Washington,Seattle,Petrol,Dealer,Manual,First Owner,21.2,1197,81.8,113Nm@ 4200rpm,5,Y,Maruti
157,164,Toyota Innova,2016,1525000,42163,West,Washington,Seattle,Diesel,Dealer,Automatic,Second Owner,11.3,2755,171.5,360Nm@ 1200-3400rpm,7,Y,Toyota
